Date,Description,Category,Amount,Payment_Mode,Location,Month,Day_of_Week
2025-10-22,Movie,Entertainment,509.45,Credit Card,New Sandrafort,10,Wednesday
2025-06-19,Netflix,Entertainment,4526.73,Debit Card,North Brianport,6,Thursday
2026-02-06,Uber,Travel,347.08,Cash,Blankenshipburgh,2,Friday
2025-06-28,Spotify,Entertainment,1278.02,Cash,Lake Donald,6,Saturday
2025-10-30,Swiggy,Food,2496.97,Cash,Savannahburgh,10,Thursday
2026-03-05,Swiggy,Food,4618.24,Debit Card,Vickiemouth,3,Thursday
2025-04-30,Movie,Entertainment,2356.82,Debit Card,South Mark,4,Wednesday
2026-01-28,Netflix,Entertainment,4483.79,Cash,Williamchester,1,Wednesday
2025-03-08,Electricity,Bills,3476.42,Cash,Port Kayla,3,Saturday
2025-10-02,Flight,Travel,4365.79,Debit Card,Lisastad,10,Thursday
2025-12-24,Mall,Shopping,2746.01,Credit Card,Lake Dustin,12,Wednesday
2025-07-11,Zomato,Food,4681.33,Credit Card,South Maxwell,7,Friday
2025-04-01,Flight,Travel,4281.0,Debit Card,Rebeccaville,4,Tuesday
2025-12-17,Swiggy,Food,701.85,UPI,Lake Douglasmouth,12,Wednesday
2025-04-05,Metro,Travel,2911.73,UPI,Heatherbury,4,Saturday
2025-03-22,Movie,Entertainment,1486.1,Credit Card,Kevinmouth,3,Saturday
2025-11-19,Metro,Travel,455.48,Cash,Austinside,11,Wednesday
2025-05-02,Internet,Bills,3783.6,Cash,Kingbury,5,Friday
2025-09-17,Electricity,Bills,1865.3,UPI,Lake Sheilaport,9,Wednesday
2026-02-09,Mobile Recharge,Bills,2934.56,Cash,Bensonchester,2,Monday
2025-09-27,Mobile Recharge,Bills,2959.47,UPI,Port Frankchester,9,Saturday
2025-10-10,Amazon,Shopping,436.73,Cash,South Brandon,10,Friday
2025-12-18,Swiggy,Food,634.73,Cash,North Toddbury,12,Thursday
2025-04-05,Flipkart,Shopping,4842.41,Cash,Millerberg,4,Saturday
2025-12-29,Mobile Recharge,Bills,2284.7,Credit Card,Donnamouth,12,Monday
2025-09-05,Electricity,Bills,2581.49,Debit Card,Mendozafurt,9,Friday
2025-09-09,Electricity,Bills,2349.08,Credit Card,Danielmouth,9,Tuesday
2025-12-26,Spotify,Entertainment,1956.11,UPI,North Nathaniel,12,Friday
2025-11-16,Amazon,Shopping,1722.77,Credit Card,East Davidborough,11,Sunday
2025-07-05,Flipkart,Shopping,4279.13,Debit Card,Maryburgh,7,Saturday
2026-03-04,Uber,Travel,2738.49,Credit Card,Port Randy,3,Wednesday
2025-04-06,Spotify,Entertainment,3559.96,Credit Card,East Dana,4,Sunday
2025-07-24,Netflix,Entertainment,3362.22,UPI,Lake Patriciachester,7,Thursday
2025-07-04,Movie,Entertainment,316.38,Debit Card,Robertsonborough,7,Friday
2025-05-07,Swiggy,Food,4234.56,UPI,South Neil,5,Wednesday
2025-09-07,Electricity,Bills,697.34,Debit Card,Crystalton,9,Sunday
2025-12-23,Amazon,Shopping,3889.11,Credit Card,Travismouth,12,Tuesday
2025-12-02,Amazon,Shopping,1250.97,Cash,Port Teresabury,12,Tuesday
2025-08-07,Mall,Shopping,4339.03,UPI,South Andresburgh,8,Thursday
2025-08-07,Metro,Travel,2744.95,Credit Card,East Geoffreyfort,8,Thursday
2025-04-26,Ola,Travel,3468.18,Cash,Port Amanda,4,Saturday
2025-10-10,Mall,Shopping,164.94,Cash,Yanghaven,10,Friday
2025-08-29,Netflix,Entertainment,4345.96,Credit Card,North Megan,8,Friday
2025-08-12,Netflix,Entertainment,4028.26,Cash,Nicoleshire,8,Tuesday
2025-08-29,Zomato,Food,2309.82,Cash,West Stephanietown,8,Friday
2025-04-30,Swiggy,Food,2935.53,Debit Card,Port Tiffanyside,4,Wednesday
2025-04-03,Movie,Entertainment,2339.24,Cash,West Jesusmouth,4,Thursday
2025-06-25,Mall,Shopping,3953.66,Credit Card,East Travis,6,Wednesday
2026-02-27,Mall,Shopping,4981.24,UPI,Jeffside,2,Friday
2025-08-21,Amazon,Shopping,1193.31,Debit Card,New Jonathanport,8,Thursday
2025-07-20,Restaurant,Food,2023.53,Debit Card,New Jennifertown,7,Sunday
2025-11-29,Swiggy,Food,3818.63,Debit Card,New Davidland,11,Saturday
2025-11-17,Electricity,Bills,3540.12,Cash,Davidtown,11,Monday
2025-07-29,Flipkart,Shopping,4239.76,UPI,Lake Susanfort,7,Tuesday
2025-05-11,Flight,Travel,2890.85,Credit Card,Lake Calvinland,5,Sunday
2025-05-23,Ola,Travel,1315.54,Debit Card,Lopezfurt,5,Friday
2025-08-11,Flight,Travel,4807.81,Credit Card,Loritown,8,Monday
2025-12-15,Flipkart,Shopping,800.38,Debit Card,Perryberg,12,Monday
2025-07-31,Flipkart,Shopping,1155.75,Cash,Wilkinsside,7,Thursday
2025-08-21,Ola,Travel,4474.89,Credit Card,New Catherineshire,8,Thursday
2025-07-19,Swiggy,Food,1710.7,Cash,Johnsonstad,7,Saturday
2025-09-14,Spotify,Entertainment,378.01,UPI,Conniechester,9,Sunday
2025-06-04,Movie,Entertainment,2918.89,Credit Card,Kurtside,6,Wednesday
2025-06-16,Internet,Bills,1339.63,Debit Card,South Johnnyshire,6,Monday
2025-12-17,Movie,Entertainment,1390.87,Credit Card,Port Erika,12,Wednesday
2025-08-09,Restaurant,Food,582.79,Credit Card,Barnesport,8,Saturday
2025-05-14,Mobile Recharge,Bills,909.16,Cash,Ethanton,5,Wednesday
2025-06-27,Netflix,Entertainment,401.34,Cash,Morganfort,6,Friday
2025-11-26,Uber,Travel,3303.0,Credit Card,East Lindsaybury,11,Wednesday
2025-09-17,Ola,Travel,583.49,Credit Card,New Cynthia,9,Wednesday
2025-07-31,Mall,Shopping,2286.37,UPI,Mcdonaldport,7,Thursday
2025-05-14,Ola,Travel,870.46,Cash,South Patriciaport,5,Wednesday
2025-03-10,Electricity,Bills,1022.01,Cash,West Michaelborough,3,Monday
2025-12-01,Electricity,Bills,2364.64,Debit Card,North Stefanie,12,Monday
2025-12-16,Restaurant,Food,3569.71,UPI,West Kaylabury,12,Tuesday
2026-02-03,Mobile Recharge,Bills,3245.98,Credit Card,South Robert,2,Tuesday
2026-03-01,Metro,Travel,4393.05,Cash,Port Andrea,3,Sunday
2025-10-16,Swiggy,Food,498.76,Credit Card,New Taylorberg,10,Thursday
2025-06-07,Internet,Bills,1724.56,Debit Card,Portertown,6,Saturday
2025-06-30,Spotify,Entertainment,2752.06,Cash,Coopertown,6,Monday
2025-11-19,Electricity,Bills,1856.51,Credit Card,Lake Jonathanland,11,Wednesday
2025-10-18,Restaurant,Food,2693.18,UPI,East Kimberlybury,10,Saturday
2025-09-02,Netflix,Entertainment,2926.47,UPI,New Theresaburgh,9,Tuesday
