Date,Description,Category,Amount,Payment_Mode,Location
2025-10-22,Movie,Entertainment,509.45,Credit Card,New Sandrafort
2025-06-19,Netflix,Entertainment,4526.73,Debit Card,North Brianport
2026-02-06,Uber,Travel,347.08,Cash,Blankenshipburgh
2025-06-28,Spotify,Entertainment,1278.02,Cash,Lake Donald
2025-10-30,Swiggy,Food,2496.97,Cash,Savannahburgh
2026-03-05,Swiggy,Food,4618.24,Debit Card,Vickiemouth
2025-04-30,Movie,Entertainment,2356.82,Debit Card,South Mark
2026-01-28,Netflix,Entertainment,4483.79,Cash,Williamchester
2025-03-08,Electricity,Bills,3476.42,Cash,Port Kayla
2025-10-02,Flight,Travel,4365.79,Debit Card,Lisastad
2025-12-24,Mall,Shopping,2746.01,Credit Card,Lake Dustin
2025-07-11,Zomato,Food,4681.33,Credit Card,South Maxwell
2025-04-01,Flight,Travel,4281.0,Debit Card,Rebeccaville
2025-12-17,Swiggy,Food,701.85,UPI,Lake Douglasmouth
2025-04-05,Metro,Travel,2911.73,UPI,Heatherbury
2025-03-22,Movie,Entertainment,1486.1,Credit Card,Kevinmouth
2025-11-19,Metro,Travel,455.48,Cash,Austinside
2025-05-02,Internet,Bills,3783.6,Cash,Kingbury
2025-09-17,Electricity,Bills,1865.3,UPI,Lake Sheilaport
2026-02-09,Mobile Recharge,Bills,2934.56,Cash,Bensonchester
2025-09-27,Mobile Recharge,Bills,2959.47,UPI,Port Frankchester
2025-10-10,Amazon,Shopping,436.73,Cash,South Brandon
2025-12-18,Swiggy,Food,634.73,Cash,North Toddbury
2025-04-05,Flipkart,Shopping,4842.41,Cash,Millerberg
2025-12-29,Mobile Recharge,Bills,2284.7,Credit Card,Donnamouth
2025-09-05,Electricity,Bills,2581.49,Debit Card,Mendozafurt
2025-09-09,Electricity,Bills,2349.08,Credit Card,Danielmouth
2025-12-26,Spotify,Entertainment,1956.11,UPI,North Nathaniel
2025-11-16,Amazon,Shopping,1722.77,Credit Card,East Davidborough
2025-07-05,Flipkart,Shopping,4279.13,Debit Card,Maryburgh
2026-03-04,Uber,Travel,2738.49,Credit Card,Port Randy
2025-04-06,Spotify,Entertainment,3559.96,Credit Card,East Dana
2025-07-24,Netflix,Entertainment,3362.22,UPI,Lake Patriciachester
2025-07-04,Movie,Entertainment,316.38,Debit Card,Robertsonborough
2025-05-07,Swiggy,Food,4234.56,UPI,South Neil
2025-09-07,Electricity,Bills,697.34,Debit Card,Crystalton
2025-12-23,Amazon,Shopping,3889.11,Credit Card,Travismouth
2025-12-02,Amazon,Shopping,1250.97,Cash,Port Teresabury
2025-08-07,Mall,Shopping,4339.03,UPI,South Andresburgh
2025-08-07,Metro,Travel,2744.95,Credit Card,East Geoffreyfort
2025-04-26,Ola,Travel,3468.18,Cash,Port Amanda
2025-10-10,Mall,Shopping,164.94,Cash,Yanghaven
2025-08-29,Netflix,Entertainment,4345.96,Credit Card,North Megan
2025-08-12,Netflix,Entertainment,4028.26,Cash,Nicoleshire
2025-08-29,Zomato,Food,2309.82,Cash,West Stephanietown
2025-04-30,Swiggy,Food,2935.53,Debit Card,Port Tiffanyside
2025-04-03,Movie,Entertainment,2339.24,Cash,West Jesusmouth
2025-06-25,Mall,Shopping,3953.66,Credit Card,East Travis
2026-02-27,Mall,Shopping,4981.24,UPI,Jeffside
2025-08-21,Amazon,Shopping,1193.31,Debit Card,New Jonathanport
2025-07-20,Restaurant,Food,2023.53,Debit Card,New Jennifertown
2025-11-29,Swiggy,Food,3818.63,Debit Card,New Davidland
2025-11-17,Electricity,Bills,3540.12,Cash,Davidtown
