Date,Description,Category,Amount,Payment_Mode,Location
2025-10-20,Ola,Travel,2267.38,UPI,Mumbai
2025-07-01,Cafe,Food,4532.97,Credit Card,Bangalore
2025-09-16,Mobile Recharge,Bills,3333.72,Debit Card,Kolkata
2026-02-21,Electricity Bill,Bills,83.94,UPI,Hyderabad
2026-01-19,Movie Ticket,Entertainment,2917.27,UPI,Hyderabad
2025-08-29,Electricity Bill,Bills,3725.12,UPI,Pune
2025-06-14,Swiggy,Food,1437.75,Credit Card,Bangalore
2025-04-01,Uber,Travel,3535.77,Debit Card,Hyderabad
2025-08-05,Flipkart,Shopping,3350.76,UPI,Delhi
2025-04-27,Internet Bill,Bills,4402.21,Credit Card,Chennai
2025-08-11,Restaurant,Food,98.4,Credit Card,Pune
2025-09-10,Ola,Travel,640.18,Credit Card,Delhi
2025-05-22,Restaurant,Food,856.52,UPI,Mumbai
2026-01-08,Uber,Travel,4869.76,UPI,Kolkata
2025-08-07,Electricity Bill,Bills,2035.13,Credit Card,Chennai
2025-10-07,Zomato,Food,3284.36,UPI,Delhi
2026-01-10,Amazon,Shopping,2776.02,Debit Card,Bangalore
2025-11-15,Internet Bill,Bills,3165.89,Cash,Bangalore
2025-08-26,Electricity Bill,Bills,4596.23,Cash,Bangalore
2025-07-27,Flipkart,Shopping,4372.23,Credit Card,Bangalore
2025-12-13,Ola,Travel,2442.65,Debit Card,Kolkata
2026-01-18,Ola,Travel,3561.19,Cash,Pune
2025-11-14,Mall,Shopping,3278.13,Credit Card,Delhi
2025-06-01,Movie Ticket,Entertainment,1236.63,UPI,Kolkata
2025-11-25,Internet Bill,Bills,3686.54,UPI,Mumbai
2025-07-31,Mall,Shopping,3227.68,Debit Card,Pune
2025-04-05,Zomato,Food,1026.37,UPI,Kolkata
2025-11-12,Flipkart,Shopping,151.68,Debit Card,Mumbai
2025-06-08,Internet Bill,Bills,2020.05,Cash,Pune
2025-09-11,Amazon,Shopping,3760.26,Credit Card,Mumbai
2025-03-26,Amazon,Shopping,2941.69,Cash,Hyderabad
2026-03-09,Mobile Recharge,Bills,1133.68,Debit Card,Kolkata
2026-01-03,Restaurant,Food,4029.38,Cash,Pune
2025-03-18,Electricity Bill,Bills,2688.08,Credit Card,Chennai
2025-05-17,Movie Ticket,Entertainment,1049.78,Cash,Pune
2025-08-30,Mall,Shopping,1784.54,Cash,Chennai
2025-07-21,Restaurant,Food,2823.79,Debit Card,Bangalore
2025-04-23,Movie Ticket,Entertainment,4507.95,Credit Card,Mumbai
2025-08-29,Internet Bill,Bills,1486.44,UPI,Mumbai
2025-06-06,Amazon,Shopping,2617.0,UPI,Bangalore
2026-03-06,Metro,Travel,3129.93,Debit Card,Kolkata
2026-01-29,Flipkart,Shopping,896.26,Debit Card,Mumbai
2025-11-10,Movie Ticket,Entertainment,4441.14,Cash,Hyderabad
2025-12-07,Flight,Travel,1137.75,Cash,Hyderabad
2025-03-18,Electricity Bill,Bills,3644.85,UPI,Delhi
2025-10-23,Electricity Bill,Bills,430.08,Credit Card,Chennai
2025-03-28,Mobile Recharge,Bills,458.24,Credit Card,Pune
2026-02-13,Metro,Travel,2376.25,UPI,Delhi
2026-03-03,Metro,Travel,4442.33,Debit Card,Mumbai
2025-07-17,Cafe,Food,4614.7,Debit Card,Hyderabad
2025-12-02,Electricity Bill,Bills,1288.71,UPI,Pune
2026-02-14,Mobile Recharge,Bills,2121.34,Credit Card,Hyderabad
2025-11-03,Metro,Travel,1168.69,Cash,Delhi
2025-08-24,Netflix,Entertainment,3235.43,UPI,Hyderabad
2026-01-26,Electricity Bill,Bills,4914.85,Credit Card,Pune
2025-04-07,Swiggy,Food,1078.95,UPI,Pune
2025-03-15,Swiggy,Food,1926.03,Cash,Bangalore
2026-01-14,Electricity Bill,Bills,1192.9,Credit Card,Chennai
2026-01-11,Electricity Bill,Bills,1173.97,Cash,Pune
2025-08-06,Spotify,Entertainment,2762.06,Debit Card,Kolkata
2025-09-18,Mall,Shopping,659.44,Cash,Chennai
